ID,Monument Name,Country,Location,Continent,Type,Year Built,Latitude,Longitude,Image URL,Photographer Name,Photographer URL,Description
89,Hawa Mahal,India,Jaipur,Asia,Palace,1799,26.9239,75.8267,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Hawa Mahal or Palace of Winds is an iconic five-story pink sandstone palace in Jaipur Rajasthan designed in 1799 by Lal Chand Ustad for Maharaja Sawai Pratap Singh. Its ornate facade features 953 honeycomb-shaped windows (jharokhas) allowing royal women to observe bustling street life unseen while enabling natural cooling via frequent air circulation. A masterpiece of Rajput and Mughal architecture Hawa Mahal's unique blend of marble latticework arches and delicate stonework embodies the elegance of Jaipur's royal legacy. The palace is a symbol of the city and a major tourist attraction for its historical and architectural significance.
90,Tiger's Nest,Bhutan,Paro Valley,Asia,Monastery,1692,27.4912,89.3636,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Tiger's Nest Monastery or Paro Taktsang dramatically clings to a sheer cliff at 3120 meters above Paro Valley. Built in 1692 around the legendary meditation cave of Guru Padmasambhava who is said to have arrived there on a flying tigress Taktsang has become Bhutan's most famous spiritual landmark. The complex contains numerous sacred shrines and temples accessed by steep footpaths through pine forest. Despite suffering fires and undergoing reconstruction the site remains a serene pilgrimage destination and a remarkable feat of Himalayan architecture offering a blend of religious reverence and natural splendor.
91,Shwedagon Pagoda,Myanmar,Yangon,Asia,Pagoda,6th-10th century,16.7983,96.1497,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Shwedagon Pagoda Myanmar's most sacred Buddhist site rises 99 meters atop Singuttara Hill dominating Yangon's skyline with its golden stupa and diamond-studded spire. Legend claims the pagoda enshrines relics of four Buddhas including strands of Gautama Buddha's hair with construction beginning over 2600 years ago; historians however date the core structure to between the 6th and 10th centuries. Lavish donations from successive monarchs have transformed the stupa with gold leaf and jewels making it a pilgrimage hub and a symbol of Burmese identity. Nightly worshippers circle the glowing monument in veneration.
92,Wat Arun,Thailand,Bangkok,Asia,Temple,1847,13.7437,100.4880,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Wat Arun called the Temple of Dawn stands majestically on the Thonburi west bank of the Chao Phraya River. Famous for its 70-meter central Khmer-style spire (prang) encrusted with colorful porcelain and seashells the temple shimmers in sunrise light. Originally dating to the Ayutthaya period its prominent present-day features emerged under King Rama II and Rama III. Beyond the central prang the temple complex includes ornate pavilions statues and four smaller satellite prangs all embodying Thai Buddhist architectural artistry. Wat Arun remains a revered religious site and one of Bangkok's most recognizable landmarks.
95,Gyeongbokgung Palace,South Korea,Seoul,Asia,Palace,1395,37.5760,126.9770,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Gyeongbokgung meaning palace greatly blessed by Heaven was constructed in 1395 as the main royal palace of the Joseon Dynasty by Yi Seong-gye (King Taejo) founder of the dynasty. Surrounded by Mount Bugaksan and centrally located in Seoul it became the political and cultural heart of Korea. The palace covers a vast area with over 500 buildings spread across 40 hectares at its peak showcasing classical Joseon architecture and gardens. Notable features include the iconic Gwanghwamun Gate Gyeonghoeru Pavilion and Hyangwonjeong Pavilion. Severely damaged during the Imjin War and left in ruins for centuries it was extensively restored in the late 19th century and again in modern times. Today Gyeongbokgung houses the National Palace Museum and National Folk Museum remaining a symbol of Korea's rich heritage.
97,Arashiyama Bamboo Grove,Japan,Kyoto,Asia,Forest,794-1185,35.0175,135.6776,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Arashiyama Bamboo Grove also known as the Sagano Bamboo Forest is a 400–500 meter walking path lined with towering green bamboo stalks reaching up to 20 meters high. Located in the northwestern outskirts of Kyoto along the Katsura River near the Togetsukyo Bridge the grove offers a tranquil almost otherworldly experience. Its origins are rooted in the Heian period when Kyoto was Japan's imperial capital and Arashiyama served as a retreat for nobility who cultivated bamboo and gardens for refined enjoyment. The rustling of the bamboo and the play of sunlight through the tall stalks create a serene meditative atmosphere. Today the grove is a celebrated symbol of Kyoto and Japanese aesthetics cherished for both its natural beauty and cultural heritage.
98,Lotus Temple,India,New Delhi,Asia,Temple,1986,28.5535,77.2588,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Lotus Temple is a Baháʼí House of Worship renowned for its distinctive flowerlike design composed of 27 free-standing marble-clad petal structures arranged in clusters to resemble a lotus blossom. Situated in South Delhi it stands out as a major landmark and architectural marvel. The temple is open to all regardless of religion reflecting the Baháʼí principle of unity. It offers a tranquil environment for meditation and prayer inviting millions of visitors each year with its serene pools and carefully landscaped gardens.
100,Taipei 101,Taiwan,Taipei,Asia,Skyscraper,2004,25.0339,121.5645,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Taipei 101 is a supertall skyscraper located in the Xinyi District of Taipei. Once the tallest building in the world it rises 508 meters with 101 above-ground floors. Its design inspired by a bamboo stalk merges traditional Asian symbolism with cutting-edge technology including an immense tuned mass damper to withstand earthquakes and typhoons. Taipei 101 serves as a symbol of Taiwan's modernity and hosts office spaces a major mall and an observatory with sweeping city views.
102,Sigiriya,Sri Lanka,Central Province,Asia,Rock Fortress,477-495 CE,7.9570,80.7603,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Sigiriya also called Lion Rock is an ancient rock fortress rising almost 200 meters above the jungle plains of Sri Lanka's Central Province. Built by King Kashyapa the site consists of a palace perched on top of a dramatic granite column with elaborate water gardens moats and frescoes at its base. The entrance was originally designed to resemble a lion with massive paws still flanking the stairway. Sigiriya is a UNESCO World Heritage Site renowned for its blend of natural grandeur and ancient urban planning.
103,Ellora Caves,India,Maharashtra,Asia,Cave Temples,600-1000 CE,20.0268,75.1794,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Ellora Caves comprise a monumental complex of 34 rock-cut structures—Buddhist Hindu and Jain temples and monasteries—carved directly into basalt cliffs. Best known is the colossal Kailasa Temple (Cave 16) a standalone structure painstakingly hewn from a single rock. Ellora exemplifies the artistic excellence and religious pluralism of ancient India functioning as a significant pilgrimage site over centuries. The site is a UNESCO World Heritage Site recognized for its architectural innovation and intricate sculptures.
104,Ajanta Caves,India,Maharashtra,Asia,Cave Monuments,2nd century BCE-480 CE,20.5520,75.7033,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Ajanta Caves are a set of 30 Buddhist rock-cut monuments arching along a horseshoe-shaped cliff overlooking the Waghora River. Famous for their exquisite murals and frescoes depicting Jataka tales and Buddhist iconography the caves were used as monasteries and prayer halls by Buddhist monks over several centuries. The complex is one of India's earliest world heritage sites admired for its vivid art architectural harmony and historical significance as a cradle of Buddhist culture.
105,Mehrangarh Fort,India,Jodhpur,Asia,Fort,1459,26.297339,73.019085,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Mehrangarh Fort is one of India's most imposing and best-preserved hill forts perched 122 meters above the plains of Jodhpur and spanning a massive 1200 acres. The fort's colossal walls soar to a height of 36 meters and are up to 20 meters wide. Built by Rao Jodha to move his capital to a more defensible location Mehrangarh houses intricate palaces expansive courtyards and a well-regarded museum. Its seven gates include Jai Pol and Fattehpol which commemorate major victories. The fort still displays visible battle scars such as cannonball imprints on its gates and today hosts major festivals like the World Sacred Spirit Festival. Notably Rudyard Kipling described it as a palace that might have been built by Titans and colored by the morning sun.
106,Amber Fort,India,Jaipur,Asia,Fort,1592,26.9855,75.8507,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Amber Fort situated 11 km northeast of Jaipur above Maota Lake is famed for its artistic blend of Hindu and Mughal architecture. Built primarily from pale yellow and pink sandstone as well as white marble the fort boasts ornate gates massive ramparts and grand courtyards such as the pillared Diwan-i-Am (Hall of Public Audience) and the dazzling Sheesh Mahal (Mirror Palace). Amber served as the stronghold of the Kachhwaha Rajputs until Jaipur was built. With its scenic surroundings and elaborate interiors Amber is a major UNESCO World Heritage Site as part of the Hill Forts of Rajasthan.
107,Jaisalmer Fort,India,Jaisalmer,Asia,Fort,1156,26.9124,70.9125,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Dominating the arid Thar Desert landscape Jaisalmer Fort rises dramatically atop Trikuta Hill and is sometimes called the Golden Fort due to its yellow sandstone walls that glow in sunlight. It remains a living fort home to thousands with winding lanes Jain temples majestic havelis (mansions) and bustling markets within its massive ramparts. This UNESCO World Heritage Site showcases remarkable Rajput military architecture and has continuously been inhabited since its founding.
108,Humayun's Tomb,India,New Delhi,Asia,Tomb,1569-70,28.5933,77.2507,https://images.unsplash.com/photo-1555993539-1732b0258235,,,As the first garden-tomb on the Indian subcontinent Humayun's Tomb exemplifies Mughal innovations combining Persian double-domed structures intricate tilework and geometric gardens. Its red sandstone and white marble edifice influenced later Mughal monuments including the Taj Mahal. Set within a lush charbagh (four-quadrant garden) the tomb complex houses the graves of Humayun and other Mughal royalty. Recognized as a UNESCO World Heritage Site it stands as an architectural milestone in India's history.
109,Qutub Minar,India,New Delhi,Asia,Tower,1192,28.5244,77.1855,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Qutub Minar is the world's tallest brick minaret at 73 meters. This UNESCO World Heritage Site was built to celebrate Muslim dominance after the defeat of Delhi's last Hindu kingdom. Made of red sandstone and marble its intricately carved balconies and inscriptions showcase Indo-Islamic architecture. The complex also includes the ancient Quwwat-ul-Islam Mosque and the Iron Pillar of Delhi.
110,Meenakshi Temple,India,Madurai,Asia,Temple,6th century BCE,9.9195,78.1192,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Meenakshi Amman Temple devoted to goddess Meenakshi and Sundareswarar (Shiva) is a sprawling Dravidian temple complex famed for its 14 colorful Gopurams (gateway towers) adorned with thousands of elaborate sculptures. The temple encompasses shrines pillared halls tanks and corridors stretching over 14 acres. It is a major center of pilgrimage and cultural events vital to Tamil identity and religious traditions.
111,Golden Temple,India,Amritsar,Asia,Temple,1581-1604,31.6200,74.8765,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Golden Temple or Harmandir Sahib is the holiest shrine of Sikhism located in the city of Amritsar Punjab. Surrounded by the sacred Amrit Sarovar pool the temple's dazzling gold-covered sanctum and intricate marble work blend Mughal and Hindu architectural elements. Built under Guru Arjan the fifth Sikh Guru and later embellished by Maharaja Ranjit Singh the temple welcomes all visitors irrespective of faith or background. Its four entrances symbolize openness and its central location conveys humility and inclusivity. The complex includes the world's largest free kitchen feeding tens of thousands of people daily.
112,Khajuraho Temples,India,Madhya Pradesh,Asia,Temples,950-1050 CE,24.8516,79.9366,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Khajuraho Group of Monuments consists of 20 remaining temples renowned worldwide for their detailed nagara-style architecture and remarkable erotic sculptures celebrating a blend of spiritual and sensual expression rare in temple complexes. The site originally housed over 85 temples dedicated to Hinduism and Jainism. Now part of the UNESCO World Heritage list Khajuraho's stone carvings geometric designs and mythological tales testify to the artistic zenith of the Chandela dynasty.
113,Todai-ji,Japan,Nara,Asia,Temple,752 CE,34.6889,135.8399,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Todai-ji is one of Japan's most significant Buddhist temples renowned for housing the world's largest bronze statue of the Vairocana Buddha (Daibutsu) over 15 meters tall. Its Daibutsuden (Great Buddha Hall) was the world's largest wooden structure for centuries. The temple complex includes ancient gates halls and a deer-filled park. Todai-ji is a UNESCO World Heritage site representing the fusion of religious political and artistic developments central to Japanese culture.
114,Kinkaku-ji,Japan,Kyoto,Asia,Temple,1397,35.0394,135.7292,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Kinkaku-ji officially known as Rokuon-ji is a Zen Buddhist temple in northern Kyoto renowned for its iconic Golden Pavilion. The structure is a stunning three-story building with the top two floors completely covered in gold leaf set beside a tranquil reflecting pond within beautiful classical gardens. Originally built as a retirement villa for the shogun Ashikaga Yoshimitsu it became a temple upon his death. The current pavilion was rebuilt in 1955 after a fire destroyed the original in 1950. Kinkaku-ji's elegant architecture symbolizes the harmony between heaven and earth and epitomizes Muromachi period garden design.
115,Sensō-ji,Japan,Tokyo,Asia,Temple,645,35.7148,139.7967,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Sensō-ji is Tokyo's oldest and most revered Buddhist temple located in the Asakusa district. Believed to have been founded in 645 after fishermen discovered a statue of the Bodhisattva Kannon it has remained a center of spiritual and cultural life for centuries. The temple complex features the iconic Kaminarimon (Thunder Gate) a five-story pagoda and a bustling market street (Nakamise-dori) leading to the main hall. Despite being destroyed in World War II the site was rebuilt with community support and now serves as a symbol of resilience and tradition in Tokyo.
116,Kiyomizu-dera,Japan,Kyoto,Asia,Temple,778,34.9948,135.7850,https://images.unsplash.com/photo-1555993539-1732b0258235,,,Kiyomizu-dera founded in 778 is a celebrated Buddhist temple in eastern Kyoto and part of the Historic Monuments of Ancient Kyoto UNESCO listing. The temple is renowned for its vast wooden stage which juts out from the main hall and offers sweeping city views supported by hundreds of wooden pillars without a single nail. The temple complex rebuilt in 1633 is named after the autobiographical Otowa Waterfall (pure water) flowing beneath believed to bestow blessings. Kiyomizu-dera attracts millions for its architecture and cherry blossom and autumn foliage scenes.
120,Temple of Heaven,China,Beijing,Asia,Temple,1420,39.8822,116.4065,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Temple of Heaven is a vast religious complex built in 1420 during the Ming Dynasty by Emperor Yongle as a site for imperial ceremonies to ensure good harvests. Located in southern Beijing it covers 2.73 square kilometers and includes the iconic Hall of Prayer for Good Harvests the Circular Mound Altar and the Imperial Vault of Heaven all linked by ceremonial walkways. The complex reflects cosmic symbolism and intricate Ming architecture recognized for its harmonious design. The Temple is a UNESCO World Heritage site and an enduring symbol of China's spiritual and artistic achievements.
121,Summer Palace,China,Beijing,Asia,Palace,1750,39.9997,116.2755,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Summer Palace is a vast ensemble of palaces gardens and lakes in northwest Beijing best known as the imperial family's retreat during the Qing Dynasty. Initially built in 1750 for Emperor Qianlong the palace was largely destroyed by Anglo-French forces in 1860 and rebuilt in 1886 by Empress Dowager Cixi. Highlights include the expansive Kunming Lake the Long Corridor (a richly decorated covered walkway) and the striking Marble Boat. The Summer Palace combines traditional Chinese architecture with landscape gardening and is a UNESCO World Heritage site admired for its aesthetic and historical value.
29,Empire State Building,USA,New York,North America,Skyscraper,1930-1931,40.74833,-73.98556,https://images.unsplash.com/photo-1555993539-1732b0258235,,,The Empire State Building is a 102-story Art Deco skyscraper located in Midtown South Manhattan. Designed by Shreve Lamb & Harmon it was completed in a remarkable timeframe—just one year and 45 days during the Great Depression. Upon its opening in 1931 it became the world's tallest building holding this title for over four decades. The building reaches a total height of 1454 feet including its antenna and remains one of New York's most iconic landmarks renowned for its striking design and historic significance in American architecture.
